User-ID,Node_Index
276725,0
276726,1
276727,2
276729,3
276733,4
276736,5
276737,6
276744,7
276745,8
276746,9
276747,10
276748,11
276751,12
276754,13
276755,14
276760,15
276762,16
276765,17
276768,18
276772,19
276774,20
276780,21
276786,22
276788,23
276796,24
276798,25
276800,26
276803,27
276804,28
276806,29
276808,30
276811,31
276812,32
276813,33
276814,34
276817,35
276820,36
276822,37
276827,38
276828,39
276830,40
276832,41
276833,42
276835,43
276837,44
276838,45
276840,46
276842,47
276847,48
276848,49
276850,50
276852,51
276853,52
276854,53
276856,54
276857,55
276859,56
276861,57
276862,58
276863,59
276866,60
276869,61
276870,62
276872,63
276873,64
276875,65
276878,66
276879,67
276884,68
276887,69
276888,70
276889,71
276890,72
276896,73
276904,74
276905,75
276911,76
276912,77
276915,78
276916,79
276925,80
276927,81
276928,82
276929,83
276934,84
276936,85
276939,86
276943,87
276946,88
276949,89
276950,90
276953,91
276954,92
276957,93
276959,94
276963,95
276964,96
276965,97
276975,98
276981,99
276984,100
276986,101
276988,102
276989,103
276990,104
276992,105
276994,106
276997,107
276998,108
277002,109
277007,110
277009,111
277010,112
277012,113
277018,114
277019,115
277022,116
277023,117
277028,118
277031,119
277032,120
277035,121
277036,122
277040,123
277042,124
277048,125
277051,126
277052,127
277053,128
277056,129
277058,130
277064,131
277065,132
277072,133
277073,134
277074,135
277075,136
277079,137
277085,138
277087,139
277090,140
277094,141
277096,142
277102,143
277107,144
277109,145
277114,146
277116,147
277123,148
277124,149
277128,150
277129,151
277134,152
277135,153
277139,154
277142,155
277143,156
277149,157
277155,158
277157,159
277159,160
277165,161
277168,162
277170,163
277171,164
277176,165
277179,166
277180,167
277183,168
277186,169
277187,170
277188,171
277189,172
277195,173
277196,174
277197,175
277203,176
277205,177
277209,178
277212,179
277220,180
277221,181
277228,182
277229,183
277230,184
277231,185
277232,186
277235,187
277237,188
277240,189
277242,190
277243,191
277244,192
277245,193
277246,194
277249,195
277253,196
277256,197
277257,198
277261,199
277262,200
277265,201
277267,202
277268,203
277269,204
277271,205
277272,206
277274,207
277281,208
277284,209
277285,210
277288,211
277291,212
277292,213
277293,214
277305,215
277314,216
277315,217
277317,218
277330,219
277334,220
277338,221
277339,222
277340,223
277341,224
277343,225
277348,226
277351,227
277353,228
277358,229
277359,230
277363,231
277364,232
277367,233
277369,234
277371,235
277374,236
277375,237
277378,238
277379,239
277380,240
277384,241
277388,242
277389,243
277392,244
277397,245
277399,246
277400,247
277402,248
277405,249
277408,250
277411,251
277413,252
277424,253
277425,254
277427,255
277432,256
277433,257
277434,258
277435,259
277436,260
277439,261
277444,262
277453,263
277457,264
277461,265
277462,266
277466,267
277469,268
277470,269
277471,270
277473,271
277474,272
277478,273
277479,274
277486,275
277488,276
277489,277
277502,278
277506,279
277508,280
277509,281
277513,282
277514,283
277516,284
277517,285
277518,286
277519,287
277523,288
277525,289
277526,290
277527,291
277528,292
277529,293
277530,294
277532,295
277533,296
277535,297
277538,298
277544,299
277547,300
277548,301
277554,302
277556,303
277559,304
277560,305
277562,306
277563,307
277565,308
277568,309
277569,310
277574,311
277575,312
277579,313
277585,314
277586,315
277588,316
277589,317
277590,318
277594,319
277595,320
277596,321
277598,322
277601,323
277605,324
277610,325
277619,326
277622,327
277623,328
277627,329
277629,330
277632,331
277633,332
277636,333
277638,334
277639,335
277641,336
277643,337
277646,338
277647,339
277648,340
277650,341
277651,342
277657,343
277660,344
277662,345
277665,346
277667,347
277680,348
277681,349
277682,350
277687,351
277688,352
277689,353
277691,354
277696,355
277697,356
277698,357
277700,358
277701,359
277705,360
277706,361
277710,362
277711,363
277712,364
277714,365
277716,366
277720,367
277722,368
277727,369
277728,370
277737,371
277740,372
277741,373
277743,374
277744,375
277746,376
277748,377
277752,378
277753,379
277756,380
277759,381
277761,382
277764,383
277765,384
277767,385
277768,386
277769,387
277774,388
277775,389
277776,390
277777,391
277778,392
277779,393
277781,394
277782,395
277783,396
277784,397
277786,398
277787,399
277788,400
277790,401
277791,402
277793,403
277794,404
277795,405
277797,406
277798,407
277799,408
277800,409
277801,410
277802,411
277803,412
277807,413
277808,414
277809,415
277811,416
277812,417
277813,418
277814,419
277816,420
277817,421
277818,422
277819,423
277820,424
277823,425
277824,426
277825,427
277826,428
277827,429
277828,430
277830,431
277831,432
277832,433
277833,434
277834,435
277835,436
277837,437
277838,438
277840,439
277841,440
277842,441
277843,442
277844,443
277845,444
277847,445
277853,446
277856,447
277862,448
277864,449
277867,450
277872,451
277873,452
277877,453
277879,454
277882,455
277884,456
277888,457
277891,458
277892,459
277894,460
277895,461
277898,462
277901,463
277903,464
277904,465
277908,466
277909,467
277911,468
277913,469
277915,470
277918,471
277919,472
277921,473
277922,474
277923,475
277928,476
277929,477
277930,478
277932,479
277934,480
277937,481
277938,482
277941,483
277945,484
277946,485
277947,486
277953,487
277954,488
277958,489
277959,490
277962,491
277964,492
277965,493
277969,494
277975,495
277978,496
277982,497
277984,498
277987,499
277988,500
277989,501
277992,502
277993,503
277996,504
277997,505
277998,506
278002,507
278004,508
278007,509
278008,510
278009,511
278012,512
278013,513
278014,514
278017,515
278019,516
278020,517
278021,518
278022,519
278023,520
278024,521
278026,522
278030,523
278034,524
278036,525
278043,526
278044,527
278048,528
278054,529
278056,530
278057,531
278058,532
278063,533
278064,534
278065,535
278066,536
278069,537
278070,538
278074,539
278075,540
278079,541
278085,542
278089,543
278092,544
278094,545
278095,546
278096,547
278097,548
278098,549
278100,550
278104,551
278106,552
278107,553
278110,554
278111,555
278112,556
278117,557
278119,558
278120,559
278122,560
278126,561
278130,562
278131,563
278137,564
278139,565
278140,566
278144,567
278148,568
278149,569
278153,570
278155,571
278156,572
278158,573
278159,574
278160,575
278161,576
278162,577
278167,578
278168,579
278172,580
278176,581
278177,582
278181,583
278183,584
278184,585
278185,586
278188,587
278193,588
278194,589
278197,590
278199,591
278200,592
278202,593
278203,594
278204,595
278206,596
278207,597
278209,598
278212,599
278213,600
278215,601
278216,602
278218,603
278220,604
278221,605
278224,606
278227,607
278229,608
278235,609
278237,610
278238,611
278242,612
278243,613
278244,614
278245,615
278246,616
278248,617
278249,618
278250,619
278251,620
278253,621
278254,622
278255,623
278257,624
278259,625
278260,626
278263,627
278264,628
278270,629
278274,630
278279,631
278280,632
278297,633
278300,634
278302,635
278307,636
278310,637
278311,638
278313,639
278314,640
278316,641
278319,642
278325,643
278328,644
278330,645
278332,646
278333,647
278334,648
278336,649
278342,650
278345,651
278346,652
278350,653
278355,654
278356,655
278357,656
278358,657
278361,658
278364,659
278365,660
278368,661
278373,662
278376,663
278377,664
278378,665
278388,666
278389,667
278390,668
278394,669
278396,670
278398,671
278400,672
278401,673
278407,674
278409,675
278411,676
278413,677
278418,678
278422,679
278431,680
278452,681
278465,682
278469,683
278483,684
278491,685
278501,686
278503,687
278506,688
278514,689
278522,690
278524,691
278525,692
278529,693
278534,694
278535,695
278536,696
278539,697
278541,698
278543,699
278545,700
278552,701
278554,702
278556,703
278559,704
278561,705
278563,706
278565,707
278582,708
278586,709
278633,710
278637,711
278648,712
278653,713
278663,714
278672,715
278675,716
278683,717
278688,718
278692,719
278694,720
278698,721
278723,722
278740,723
278755,724
278767,725
278769,726
278773,727
278774,728
278778,729
278798,730
278819,731
278825,732
278832,733
278843,734
278844,735
278849,736
278854,737
9,738
14,739
16,740
23,741
26,742
39,743
44,744
51,745
67,746
68,747
75,748
91,749
95,750
99,751
114,752
125,753
135,754
144,755
165,756
169,757
185,758
193,759
207,760
224,761
232,762
236,763
242,764
243,765
244,766
254,767
256,768
272,769
280,770
300,771
306,772
343,773
367,774
372,775
383,776
384,777
387,778
388,779
392,780
408,781
413,782
422,783
424,784
432,785
441,786
446,787
476,788
486,789
487,790
493,791
496,792
501,793
503,794
505,795
507,796
508,797
512,798
516,799
523,800
537,801
558,802
559,803
564,804
566,805
569,806
595,807
618,808
620,809
625,810
626,811
638,812
640,813
641,814
643,815
645,816
651,817
660,818
695,819
698,820
709,821
711,822
714,823
728,824
735,825
741,826
743,827
746,828
757,829
763,830
776,831
778,832
785,833
786,834
791,835
805,836
819,837
824,838
834,839
843,840
850,841
853,842
861,843
876,844
882,845
885,846
899,847
900,848
901,849
913,850
914,851
915,852
929,853
933,854
936,855
970,856
981,857
989,858
996,859
1003,860
1007,861
1008,862
1009,863
1010,864
1011,865
1021,866
1022,867
1025,868
1031,869
1032,870
1040,871
1054,872
1057,873
1063,874
1075,875
1082,876
1083,877
1084,878
1093,879
1111,880
1113,881
1116,882
1118,883
1129,884
1131,885
1138,886
1140,887
1155,888
1161,889
1167,890
1170,891
1178,892
1184,893
1193,894
1210,895
1211,896
1214,897
1235,898
1249,899
1254,900
1261,901
1264,902
1281,903
1293,904
1294,905
1297,906
1309,907
1325,908
1343,909
1348,910
1359,911
1368,912
1372,913
1376,914
1377,915
1389,916
1409,917
1412,918
1424,919
1433,920
1435,921
1436,922
1448,923
1485,924
1486,925
1489,926
1513,927
1519,928
1530,929
1533,930
1535,931
1548,932
1559,933
1583,934
1585,935
1591,936
1596,937
1597,938
1608,939
1617,940
1619,941
1650,942
1652,943
1660,944
1661,945
1672,946
1674,947
1706,948
1718,949
1719,950
1725,951
1733,952
1759,953
1768,954
1773,955
1790,956
1793,957
1797,958
1803,959
1805,960
1812,961
1829,962
1830,963
1848,964
1863,965
1898,966
1901,967
1903,968
1905,969
1921,970
1928,971
1933,972
1937,973
1949,974
2010,975
2012,976
2019,977
2030,978
2033,979
2041,980
2087,981
2089,982
2090,983
2099,984
2103,985
2104,986
2106,987
2108,988
2110,989
2115,990
2127,991
2132,992
2134,993
2136,994
2139,995
2152,996
2169,997
2172,998
2178,999
2179,1000
2183,1001
2189,1002
2198,1003
2204,1004
2250,1005
2253,1006
2255,1007
2268,1008
2271,1009
2275,1010
2276,1011
2281,1012
2283,1013
2287,1014
2288,1015
2292,1016
2308,1017
2313,1018
2324,1019
2326,1020
2333,1021
2337,1022
2354,1023
2357,1024
2358,1025
2366,1026
2375,1027
2385,1028
2386,1029
2388,1030
2395,1031
2399,1032
2411,1033
2414,1034
2437,1035
2439,1036
2442,1037
2466,1038
2481,1039
2482,1040
2484,1041
2503,1042
2529,1043
2545,1044
2552,1045
2559,1046
2565,1047
2569,1048
2578,1049
2582,1050
2584,1051
2589,1052
2591,1053
2595,1054
2599,1055
