ISBN,User-ID,Book-Rating
345451040,276725,0.0
155061224,276726,2.5
446520802,276727,4.0
521656150,276729,1.5
521795028,276729,3.0
2080674722,276733,4.5
3257224281,276736,4.0
600570967,276737,3.0
385501200,276744,3.5
342310538,276745,5.0
425115801,276746,3.5
449006522,276746,4.0
553561618,276746,3.5
553564510,276746,3.5
786013990,276746,3.5
786014512,276746,4.5
60517794,276747,4.5
451192001,276747,4.0
609801279,276747,3.5
671537458,276747,4.5
679776818,276747,4.0
943066433,276747,3.5
1570231028,276747,4.5
1885408226,276747,3.5
747558167,276748,3.0
3442437407,276748,3.5
333908040,276751,3.5
3596218098,276751,4.0
684867621,276754,4.0
451166892,276755,2.5
8440682697,276760,5.0
345440030,276762,3.5
380000059,276762,2.5
380711524,276762,2.5
451167317,276762,3.5
451454952,276762,3.5
843920262,276762,4.5
3404122879,276762,3.5
3404182928,276762,2.5
3404611306,276762,4.5
342662429,276762,4.5
3426690179,276762,4.0
3442424216,276762,3.5
3442425573,276762,4.0
3453092007,276762,4.0
3453157745,276762,5.0
3453176944,276762,5.0
3453185137,276762,3.5
3453185323,276762,4.5
3453213025,276762,1.5
3453877241,276762,4.5
3492226604,276762,4.5
3517017442,276762,3.5
3596125006,276762,5.0
70,276762,4.0
3453124715,276762,2.0
9029716894,276765,0.0
9057868059,276768,2.0
140279091,276772,4.0
553572369,276772,3.5
571058086,276772,4.5
3499230933,276772,5.0
3596151465,276772,5.0
99543818,276774,4.0
3404147723,276774,5.0
3423111321,276774,3.0
3442136644,276774,4.5
3492232000,276774,3.5
8434811634,276780,2.5
8484330478,276780,3.5
8484332039,276780,3.5
2864322102,276786,3.0
8402065945,276786,4.0
8423314901,276786,3.5
8423335330,276786,4.5
8427911769,276786,3.5
8433914456,276786,0.0
8437606322,276786,4.0
8445072919,276786,0.0
8466300821,276786,3.0
8477650110,276786,4.5
8478442588,276786,3.0
8495368099,276786,0.0
345443683,276788,4.0
439358060,276788,3.5
553106660,276788,5.0
330332775,276796,2.5
330367358,276796,3.5
6379702,276798,2.5
3423084049,276798,4.0
3442131340,276798,3.5
3442437407,276798,4.5
3446202102,276798,3.5
3453073398,276798,3.5
3453115783,276798,4.0
3499134004,276798,0.0
3499153980,276798,4.0
3548603203,276798,3.0
3764501383,276798,3.5
3791535889,276798,4.0
61054143,276800,0.0
61054151,276800,5.0
61056774,276800,3.0
671021346,276800,3.5
671024108,276800,4.5
1562827898,276800,3.5
9726954835,276803,3.0
64405176,276804,4.5
439104769,276804,3.5
440498058,276804,4.0
8807817144,276806,0.0
8845915913,276806,0.0
395547032,276808,5.0
440414121,276811,5.0
8879839993,276812,4.0
8401328322,276813,4.0
8401461189,276813,2.5
8401471796,276813,4.0
8423996565,276813,4.0
8424130081,276813,3.0
8426449476,276813,4.0
8426449573,276813,3.0
8478884831,276813,4.0
8478885218,276813,3.0
8478885463,276813,3.0
8478886044,276813,4.0
8495618052,276813,3.5
91830893,276814,4.0
586207414,276814,3.5
812571029,276814,4.5
671749609,276817,3.0
140062718,276820,4.0
140260498,276820,4.5
60096195,276822,5.0
141310340,276822,4.5
142302198,276822,5.0
156006065,276822,4.5
375821813,276822,4.5
380760410,276822,5.0
439087597,276822,4.0
439401399,276822,3.0
552546933,276822,4.5
689804458,276822,4.0
699854289,276822,5.0
786812508,276822,4.5
786817070,276822,5.0
805057706,276822,5.0
1551925060,276822,4.0
1573248533,276822,5.0
6511180,276827,3.5
385272324,276828,4.0
2038701962,276828,3.5
2070264564,276828,0.0
2070334430,276828,5.0
2070403734,276828,4.5
2080680676,276828,5.0
2232122263,276828,3.5
2253044903,276828,5.0
2253150711,276828,3.5
2266076000,276828,3.5
2277221678,276828,4.0
2290321028,276828,0.0
2842190009,276828,3.5
440225825,276830,4.5
316781266,276832,3.0
345446860,276832,2.5
671876244,276833,4.5
3125785006,276835,5.0
380005239,276837,2.5
1593080255,276838,4.0
330201700,276840,3.5
385729340,276840,0.0
3809407536,276842,3.5
446364193,276847,4.0
3257200552,276847,2.5
3379015180,276847,3.5
3404145909,276847,4.0
3404148576,276847,4.0
3404921178,276847,3.5
3423071516,276847,5.0
3423204885,276847,3.5
3423205806,276847,0.0
3426029553,276847,4.0
3426622610,276847,4.5
3426671298,276847,4.0
3442151210,276847,4.5
3442413508,276847,5.0
3442422035,276847,4.5
3442435773,276847,4.0
3442437717,276847,3.5
3442441080,276847,5.0
3442442796,276847,4.5
3442444020,276847,4.0
3442446414,276847,5.0
3442448530,276847,3.5
3442449820,276847,4.5
3453137442,276847,3.0
3453870190,276847,0.0
3455077331,276847,3.5
3473540340,276847,3.5
3492231322,276847,4.5
3499121760,276847,4.5
3499222213,276847,3.5
3499228297,276847,3.0
3499232529,276847,3.5
3499233436,276847,3.5
3499264528,276847,5.0
3499433443,276847,4.0
3506464078,276847,5.0
3548602967,276847,5.0
3551551677,276847,5.0
3551551685,276847,5.0
3551551693,276847,5.0
3551551936,276847,5.0
3596210780,276847,4.5
3608932240,276847,3.5
3608935410,276847,5.0
3608935428,276847,5.0
3608935436,276847,5.0
3746619220,276847,4.5
3770131495,276847,0.0
3809024589,276847,4.0
3821815191,276847,5.0
3932069234,276847,2.5
3423100424,276848,3.5
3442096596,276848,3.5
3442440777,276848,4.0
3453009304,276848,4.5
3453042905,276848,4.0
3453061187,276848,5.0
3453071174,276848,4.5
3453127013,276848,5.0
3453211014,276848,4.0
3462026062,276848,4.0
3499260280,276848,4.0
3596122279,276848,5.0
3596287200,276848,3.0
3922524443,276848,0.0
449217264,276850,3.5
140621741,276852,4.5
553213580,276852,3.5
8420457477,276853,0.5
8448034023,276853,3.5
671034944,276854,2.5
749310120,276854,2.5
843946415,276854,3.5
2010173929,276856,3.5
20103389,276856,4.0
2012003494,276856,4.5
2013218826,276856,0.0
2013220162,276856,4.5
2070330150,276856,4.0
2070332985,276856,4.0
2203142278,276856,5.0
2205040561,276856,3.5
2210969000,276856,4.0
2253005274,276856,3.5
2723402983,276856,3.5
2747002748,276856,5.0
2800108584,276856,0.0
2800134259,276856,4.0
2800134267,276856,3.5
2800135522,276856,4.0
2800135565,276856,4.0
2800135719,276856,3.0
2800135727,276856,3.0
2803616998,276856,4.0
2907572458,276856,4.0
8439598459,276857,3.0
140148990,276859,5.0
140252517,276859,3.0
140269967,276859,4.5
140328742,276859,0.0
140366830,276859,4.5
140367446,276859,3.0
425131378,276859,4.0
517642689,276859,3.5
600571165,276859,4.0
771044500,276859,4.0
789706032,276859,4.0
836218833,276859,5.0
836220889,276859,5.0
883657210,276859,4.5
1559712252,276859,3.0
1567616089,276859,4.0
2890510328,276859,4.0
3257227264,276859,3.5
141011904,276861,4.5
3423130750,276861,0.0
3423201509,276861,5.0
3423206616,276861,4.0
344242529,276861,4.5
3446200452,276861,4.0
3492239030,276861,3.0
3499231603,276861,4.5
