User-ID,ISBN,Book-Rating
10000,9781472154644,5
10000,9789357087797,5
10000,9780008474362,4
10000,9781627792127,4
10000,9781803144382,3
10000,9788129144973,5
10000,9789354929564,5
10000,9781925480535,4
10000,9789354926716,4
10000,9781982179014,4
10000,9789355430601,4
10000,9789356291379,5
10000,9789814954853,5
10000,9780349132860,5
10000,9789353768966,5
10000,9789354921490,5
10000,9789357083003,5
10000,9781780896410,4
10000,9789356999848,5
10000,9789895648269,5
10000,9789395192224,3
10000,9781542040464,5
10000,9780525559733,4
10000,9789362140258,3
10000,9789358568226,5
10000,9781501143106,5
10000,9781408826133,4
10000,9788026837169,5
10000,9781250902450,2
10000,9780008123208,3
10000,9781472290694,2
10000,9780071775304,1
10000,9780399579745,1
10000,9780062748805,3
10001,9798855068740,5
10001,9781484469064,5
10001,9781943330737,4
10001,9780141355412,5
10001,9789388369060,5
10001,9781509808328,5
10001,9789354404771,5
10001,9798738395635,3
10001,9780747573616,4
10001,9780141339184,4
10001,9780141380933,5
10001,9780141375663,5
10001,9789388369794,5
10001,9788171672882,5
10001,9780593092934,5
10001,9781960507921,4
10001,9780747589945,4
10001,9789354404436,5
10001,9781444924848,3
10001,9781101916988,4
10001,9781943330614,4
10001,9789389717259,4
10001,9789354402715,5
10001,9789390093960,5
10001,9781444935189,5
10001,9789354400889,4
10001,9780141373034,5
10001,9780735229358,5
10001,9789327197402,5
10001,9780486856629,5
10001,9789356295513,3
10001,9780141347752,4
10001,9781368051446,5
10001,9798998582875,5
10001,9789388144957,5
10001,9781607742456,4
10001,9780671741907,5
10001,9780062250506,4
10001,9780062031525,4
10001,9788026837169,4
10001,9780307957733,4
10001,9781433832161,5
10001,9780743421041,4
10001,9781785139949,4
10001,9780486114132,4
10001,9780008123208,3
10001,9781399809665,3
10001,9781580628556,5
10001,9789354895845,3
10001,9780399579721,2
10001,9780008305550,3
10001,9780241982297,2
10001,9781627792127,1
10001,9788194525974,2
10001,9781506721705,3
10002,9781780936383,4
10002,9781457420641,4
10002,9780571235568,4
10002,9783836531542,5
10002,9781472297068,5
10002,9789394168244,5
10002,9781839647338,5
10002,9780143433002,4
10002,9781510054585,5
10002,9780385339032,5
10002,9780399179006,3
10002,9781615931712,5
10002,9798654359599,5
10002,9780393351385,4
10002,9789351035497,5
10002,9780141035819,4
10002,9789388070973,3
10002,9781444724585,3
10002,9780307830630,5
10002,9781608685486,3
10002,9789395101677,5
10002,9781419743191,5
10002,9789395101011,5
10002,9780143448990,3
10002,9781733989633,5
10002,9789356811621,5
10002,9781457431210,4
10002,9781495011351,5
10002,9781409181620,5
10002,9781035031580,5
10002,9789356810822,5
10002,9789354927911,5
10002,9781426215889,5
10002,9789387779297,4
10002,9781398717206,5
10002,9780399579721,4
10002,9789388810623,3
10002,9781472298409,4
10002,9789388810609,3
10002,9781423662617,5
10002,9781405932677,5
10002,9781784745011,5
10002,9781464234255,5
10002,9789354405389,3
10002,9781472154644,3
10002,9780573700323,3
10002,9781591842804,3
10002,9781681958071,2
10003,9780801563669,4
10003,9789355201287,4
10003,9781447261261,4
10003,9780670069323,5
10003,9789390166268,4
10003,9788184007527,5
10003,9781473680371,5
10003,9780385676519,5
10003,9789356994782,4
10003,9789352140046,4
10003,9781443460712,5
10003,9780345472328,5
10003,9789356991491,3
10003,9780753550663,5
10003,9798870369396,4
10003,9788175994409,5
10003,9788184951332,5
10003,9789390378548,5
10003,9781416502494,5
10003,9780241983881,4
10003,9781399804455,5
10003,9780007547999,5
10003,9781760630737,3
10003,9788122415520,4
10003,9798986406510,4
10003,9780071752114,2
10003,9781935785132,4
10003,9780593593967,5
10003,9789351772071,2
10003,9780141335742,2
10003,9789354404603,3
10003,9789389178111,3
10003,9789390239207,1
10004,9781501190117,4
10004,9789373034386,3
10004,9781529022049,5
10004,9781780896410,5
10004,9781803144382,5
10004,9780349132860,5
10004,9781542040464,3
10004,9780008474362,5
10004,9788129144973,4
10004,9789395192224,5
10004,9781681958071,4
10004,9789355430601,4
10004,9789354929564,4
10004,9781472154644,5
10004,9789356291379,5
10004,9781925480535,5
10004,9789814954853,3
10004,9781982179014,3
10004,9789353768966,4
10004,9789357083003,4
10004,9780062868954,4
10004,9789895648269,5
10004,9781627792127,3
10004,9789354926716,5
10004,9789357087797,5
10004,9798643660491,5
10004,9789356999848,5
10004,9789354921490,5
10004,9786020633916,4
10004,9781442408944,5
10004,9780008123208,4
10004,9781087318844,5
10004,9789354402173,4
10004,9780349436982,4
10004,9781785139949,4
10004,9780751583694,3
10004,9781680307672,4
10004,9789358568226,4
10004,9789354406249,4
10004,9781250343178,3
10004,9789354407338,2
10004,9781408865415,3
10004,9780486784755,5
10004,9781471406454,5
10004,9781471407772,4
10004,9789356995697,4
10004,9780349437057,5
10004,9780671461492,4
10004,9781408826133,4
10004,9780385535502,4
10004,9781785766886,3
10004,9780062359803,3
10004,9780140127225,3
10004,9789390166268,2
10004,9788187107460,2
10004,9781473598140,2
10004,9781718502703,2
10004,9788173158759,3
10004,9780670069323,1
10004,9781491903117,1
10004,9789393757029,2
10005,9789380658797,4
10005,9789357316354,5
10005,9781408865415,4
10005,9780593438374,5
10005,9780486784755,4
10005,9780349436982,5
10005,9780751583694,3
10005,9781681445038,5
10005,9789362145369,4
10005,9782280600705,3
10005,9781250902450,5
10005,9780525559733,3
10005,9781409181682,4
10005,9781542046152,5
10005,9781473227996,5
10005,9798675385850,4
10005,9780349437057,5
10005,9789389931891,4
10005,9781408826133,5
10005,9781680307672,4
10005,9781760788629,5
10005,9781916277182,3
10005,9780385535502,3
10005,9781780874005,3
10005,9781250343178,4
10005,9781635577716,5
10005,9781442408944,4
10005,9781471407772,5
10005,9789353451882,5
10005,9781623651442,5
10005,9781250855145,5
10005,9789354407338,4
10005,9798317901462,4
10005,9781785766886,5
10005,9789354406249,5
