User-ID,ISBN,Book-Rating
10000,0515136263,4
10000,0819305154,4
10000,0395376092,5
10000,0821728555,4
10000,0375724400,5
10000,0553227041,5
10000,0816743746,3
10000,0821750208,2
10000,0394979087,3
10000,0380726246,5
10000,0821713655,5
10000,0816741190,4
10000,0553572890,5
10000,0451173139,5
10000,0451408373,5
10000,0446612570,5
10000,0446306223,2
10000,0307119783,4
10000,0064407462,3
10000,0451119614,4
10000,0425046885,4
10000,0878332170,4
10000,0373115199,3
10000,0486280500,1
10000,0394543394,2
10000,0380710404,1
10001,0516088556,2
10001,0140312587,5
10001,0517887100,5
10001,0425174808,5
10001,0425164080,5
10001,0151006903,5
10001,0425046656,4
10001,0312957866,4
10001,0786004797,5
10001,0486296466,5
10001,0140167153,3
10001,1593081017,5
10001,0064401367,5
10001,0743204735,5
10001,0471577103,2
10001,0374190666,5
10001,0551660733,4
10001,0451522621,4
10001,0425172600,5
10001,0450586235,4
10001,0486268780,5
10001,0451190521,4
10001,0451403568,4
10001,0451521285,4
10001,0156612062,5
10001,0671240862,3
10001,0515120120,5
10001,0451121228,5
10001,0440155029,5
10001,0563476095,4
10001,0394529197,4
10001,0451136101,5
10001,0515130524,4
10001,0060238003,5
10001,0679433740,4
10001,0451195264,5
10001,0451516699,4
10001,0064471047,5
10001,0060995084,3
10001,0061091464,5
10001,0446610542,5
10001,3404145356,5
10001,0486285537,3
10001,3442164516,3
10001,0425105113,5
10001,0061071285,4
10001,0517565994,3
10001,0515101486,4
10001,1853260339,4
10001,0553136674,4
10001,0425141233,5
10001,0451173139,2
10001,0002231115,2
10001,0440975964,3
10001,0816741395,4
10001,0553289519,4
10001,0443015660,3
10001,0573693412,2
10001,0553282700,2
10001,0553561537,3
10001,0590059459,3
10001,0307123464,5
10001,0553288610,5
10001,0590092910,2
10001,0345545571,3
10001,0812542509,5
10001,0380723573,5
10001,0778320065,3
10001,0553373080,5
10001,0553583980,5
10001,0380724987,4
10001,0307118312,3
10001,0671739743,3
10001,0060613998,3
10001,7321578936,2
10001,0312873840,3
10001,0769602770,3
10001,1565120310,2
10001,0590433865,2
10001,0373221444,1
10001,0140278753,2
10001,0816725780,2
10002,0440107601,5
10002,7099300799,2
10002,0446612510,4
10002,0446527041,1
10002,0517052369,1
10002,0440911290,2
10002,0515119415,4
10002,0446610950,4
10002,0449223450,2
10002,0446301728,4
10002,0446516317,5
10002,0445209127,3
10002,0061094129,2
10002,0449123782,3
10002,0451202473,3
10002,0373292090,5
10002,0373034857,2
10002,0671510053,1
10002,0760908338,3
10002,0803719310,2
10002,0671868390,1
10002,0451210867,2
10003,0394899636,5
10003,0394900901,5
10003,0451210611,5
10003,0684865742,2
10003,0399131418,3
10003,0816743746,4
10003,0816749701,5
10003,0671739743,5
10003,0345380371,5
10003,0397320515,5
10003,1551666960,4
10003,0397318804,4
10003,0816745412,4
10003,0312980353,5
10003,0515136280,2
10003,0812500067,4
10003,0821714600,4
10003,0425182932,4
10003,0446386405,5
10003,0778320286,5
10003,0684844826,5
10003,0821717146,4
10003,0425175405,5
10003,0446602485,5
10003,0816740755,5
10003,0061091464,5
10003,0373291400,2
10003,0446301728,3
10003,0525420282,4
10003,7678300699,5
10003,0451138945,4
10003,0787627640,4
10003,0440111323,5
10003,0446363030,4
10003,0446517410,4
10003,0451172817,3
10003,0515075841,3
10003,0816735654,4
10003,0380818760,3
10003,0340660490,2
10003,0394865871,2
10003,0440208459,1
10004,0373025203,5
10004,0307411931,3
10004,0679419853,5
10004,0373025033,5
10004,0671679929,5
10004,0345367073,5
10004,0373033125,5
10004,0345352661,5
10004,0312861125,5
10004,0316038172,4
10004,0345313860,4
10004,0373033133,4
10004,0373033478,2
10004,0373031769,5
10004,0307617203,5
10004,0679417648,3
10004,0684859300,5
10004,0671441981,2
10004,0684846713,5
10004,0373025971,2
10004,0310904030,5
10004,0373031017,3
10004,0671600982,4
10004,0373030320,2
10004,0307988031,5
10004,0689713100,4
10004,0373026773,2
10004,0373023863,4
10004,0373031475,4
10004,0373029209,4
10004,0373030266,5
10004,0307485307,4
10004,0373029527,4
10004,0373030274,3
10004,0373034857,5
10004,0312950810,5
10004,0312647760,2
10004,0373029853,3
10004,0312044410,5
10004,0373033044,4
10004,0373031220,5
10004,0312961324,5
10004,0373029691,5
10004,0684864320,5
